source_input,follow_input,target_output,follow_output
"['Citizens', 'all', 'have', 'the', 'right', 'to', 'independently', 'choose', 'when', 'and', 'how', 'to', 'use', 'the', 'road', '.']","['When', 'and', 'how', 'to', 'use', 'the', 'road', ',', 'citizens', 'all', 'have', 'the', 'right', 'to', 'independently', 'choose', '.']","['WRB', 'CC', 'WRB', 'TO', 'VB', 'DT', 'NN', ',', 'NNS', 'DT', 'VBP', 'DT', 'NN', 'TO', 'RB', 'VB', '.']","['WRB', 'CC', 'WRB', 'TO', 'VB', 'DT', 'NN', ',', 'NNS', 'DT', 'VBP', 'DT', 'NN', 'TO', 'RB', 'VB', '.']"
"['When', 'the', 'doctor', 'in', 'the', 'town', 'took', 'a', 'look', 'and', 'told', 'him', 'that', 'they', 'were', 'unable', 'to', 'cure', 'the', 'sickness', ',', 'he', 'carried', 'the', 'child', 'to', 'the', 'county', '.']","['He', 'carried', 'the', 'child', 'to', 'the', 'county', ',', 'when', 'the', 'doctor', 'in', 'the', 'town', 'took', 'a', 'look', 'and', 'told', 'him', 'that', 'they', 'were', 'unable', 'to', 'cure', 'the', 'sickness', '.']","['PRP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBD', 'DT', 'NN', 'CC', 'VBD', 'PRP', 'IN', 'PRP', 'VBD', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']","['PRP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBD', 'DT', 'NN', 'CC', 'VBD', 'PRP', 'IN', 'PRP', 'VBD', 'JJ', 'TO', 'VB', 'DT', 'NN', '.']"
"['For', 'some', 'unknown', 'reason', ',', 'when', 'I', 'was', 'eating', 'the', 'other', 'day', ',', 'the', 'tooth', 'suddenly', 'ached', 'during', 'the', 'meal', ',', 'and', 'it', 'was', 'very', 'painful', '.']","['When', 'I', 'was', 'eating', 'the', 'other', 'day', ',', 'for', 'some', 'unknown', 'reason', ',', 'the', 'tooth', 'suddenly', 'ached', 'during', 'the', 'meal', ',', 'and', 'it', 'was', 'very', 'painful', '.']","['WRB', 'PRP', 'VBD', 'VBG', 'DT', 'JJ', 'NN', ',', 'IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NN', 'RB', 'VBD', 'IN', 'DT', 'NN', ',', 'CC', 'PRP', 'VBD', 'RB', 'JJ', '.']","['WRB', 'PRP', 'VBD', 'VBG', 'DT', 'JJ', 'NN', ',', 'IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NN', 'RB', 'VBD', 'IN', 'DT', 'NN', ',', 'CC', 'PRP', 'VBD', 'RB', 'JJ', '.']"
"['When', 'the', 'police', 'state', 'crushes', 'HIS', 'family', ',', 'we', ""'ll"", 'all', 'just', 'laugh', 'a', 'say', ',', '``', 'well', ',', 'fucker', ',', 'it', 'just', 'IS', '...', ""''""]","['We', ""'ll"", 'all', 'just', 'laugh', 'a', 'say', ',', '``', 'well', ',', 'fucker', ',', 'it', 'just', 'IS', '...', ""''"", ',', 'when', 'the', 'police', 'state', 'crushes', 'HIS', 'family', '.']","['PRP', 'MD', 'DT', 'RB', 'VB', 'CC', 'VB', ',', '``', 'UH', ',', 'NN', ',', 'PRP', 'RB', 'VBZ', '.', ""''"", ',', 'WRB', 'DT', 'NN', 'NN', 'VBZ', 'PRP$', 'NN', '.']","['PRP', 'MD', 'DT', 'RB', 'VB', 'CC', 'VB', ',', '``', 'UH', ',', 'NN', ',', 'PRP', 'RB', 'VBZ', 'NFP', ""''"", ',', 'WRB', 'DT', 'NN', 'NN', 'VBZ', 'PRP$', 'NN', '.']"
"['When', 'he', 'had', 'gotten', 'everything', 'ready', ',', 'the', 'truck', 'had', 'already', 'been', 'loaded', 'to', '2,100', 'kilograms', '.']","['The', 'truck', 'had', 'already', 'been', 'loaded', 'to', '2,100', 'kilograms', ',', 'when', 'he', 'had', 'gotten', 'everything', 'ready', '.']","['DT', 'NN', 'VBD', 'RB', 'VBN', 'VBN', 'IN', 'CD', 'NNS', ',', 'WRB', 'PRP', 'VBD', 'VBN', 'NN', 'JJ', '.']","['DT', 'NN', 'VBD', 'RB', 'VBN', 'VBN', 'IN', 'CD', 'NNS', ',', 'WRB', 'PRP', 'VBD', 'VBN', 'NN', 'JJ', '.']"
"['When', 'she', 'went', 'downstairs', 'to', 'play', 'by', 'herself', ',', 'an', 'accident', 'happened', '.']","['An', 'accident', 'happened', ',', 'when', 'she', 'went', 'downstairs', 'to', 'play', 'by', 'herself', '.']","['DT', 'NN', 'VBD', ',', 'WRB', 'PRP', 'VBD', 'RB', 'TO', 'VB', 'IN', 'PRP', '.']","['DT', 'NN', 'VBD', ',', 'WRB', 'PRP', 'VBD', 'RB', 'TO', 'VB', 'IN', 'PRP', '.']"
"['When', 'a', 'regional', 'economy', 'catches', 'cold', ',', 'the', 'local', 'real', '-', 'estate', 'market', 'gets', 'pneumonia', '.']","['The', 'local', 'real', '-', 'estate', 'market', 'gets', 'pneumonia', ',', 'when', 'a', 'regional', 'economy', 'catches', 'cold', '.']","['DT', 'JJ', 'JJ', 'HYPH', 'NN', 'NN', 'VBZ', 'NN', ',', 'WRB', 'DT', 'JJ', 'NN', 'VBZ', 'NN', '.']","['DT', 'JJ', 'JJ', 'HYPH', 'NN', 'NN', 'VBZ', 'NN', ',', 'WRB', 'DT', 'JJ', 'NN', 'VBZ', 'NN', '.']"
"['Many', 'market', 'makers', 'in', 'the', 'S&P', '100', 'index', 'options', 'contract', 'had', 'bullish', 'positions', 'Friday', ',', 'and', 'when', 'the', 'shutdown', 'came', 'they', 'were', 'frozen', 'with', 'huge', 'losses', '.']","['When', 'the', 'shutdown', 'came', 'they', 'were', 'frozen', 'with', 'huge', 'losses', ',', 'many', 'market', 'makers', 'in', 'the', 'S&P', '100', 'index', 'options', 'contract', 'had', 'bullish', 'positions', 'Friday', ',', 'and', '.']","['WRB', 'DT', 'NN', 'VBD', 'PRP', 'VBD', 'VBN', 'IN', 'JJ', 'NNS', ',', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'NNP', 'CD', 'NN', 'NNS', 'NN', 'VBD', 'JJ', 'NNS', 'NNP', ',', 'CC', '.']","['WRB', 'DT', 'NN', 'VBD', 'PRP', 'VBD', 'VBN', 'IN', 'JJ', 'NNS', ',', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'NNP', 'CD', 'NN', 'NNS', 'NN', 'VBD', 'JJ', 'NNS', 'NNP', ',', 'CC', '.']"
"['When', 'the', 'US', 'Congress', 'approved', 'one', 'hundred', 'million', 'dollars', 'in', 'aid', 'to', 'Serbia', 'last', 'month', ',', 'it', 'stipulated', 'the', 'aid', 'would', 'stop', 'flowing', 'if', 'Belgrade', 'has', ""n't"", 'cooperated', 'with', 'the', 'tribunal', 'by', 'March', '31st', '.']","['It', 'stipulated', 'the', 'aid', 'would', 'stop', 'flowing', 'if', 'Belgrade', 'has', ""n't"", 'cooperated', 'with', 'the', 'tribunal', 'by', 'March', '31st', ',', 'when', 'the', 'US', 'Congress', 'approved', 'one', 'hundred', 'million', 'dollars', 'in', 'aid', 'to', 'Serbia', 'last', 'month', '.']","['PRP', 'VBD', 'DT', 'NN', 'MD', 'VB', 'VBG', 'IN', 'NNP', 'VBZ', 'RB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', ',', 'WRB', 'DT', 'NNP', 'NNP', 'VBD', 'CD', 'CD', 'CD', 'NNS', 'IN', 'NN', 'IN', 'NNP', 'JJ', 'NN', '.']","['PRP', 'VBD', 'DT', 'NN', 'MD', 'VB', 'VBG', 'IN', 'NNP', 'VBZ', 'RB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', ',', 'WRB', 'DT', 'NNP', 'NNP', 'VBD', 'CD', 'CD', 'CD', 'NNS', 'IN', 'NN', 'IN', 'NNP', 'JJ', 'NN', '.']"
"['Oh', 'I', 'think', 'he', 'was', ""n't"", 'working', 'when', 'Holly', 'was', 'here']","['When', 'Holly', 'was', 'here', ',', 'oh', 'I', 'think', 'he', 'was', ""n't"", 'working', '.']","['WRB', 'NNP', 'VBD', 'RB', ',', 'UH', 'PRP', 'VBP', 'PRP', 'VBD', 'RB', 'VBG', '.']","['WRB', 'NNP', 'VBD', 'RB', ',', 'UH', 'PRP', 'VBP', 'PRP', 'VBD', 'RB', 'VBG', '.']"
