source_input,follow_input,target_output,follow_output
"['When', 'you', 'enter', 'that', 'home', ',', 'say', ',', ""'"", 'Peace', 'be', 'with', 'you', '.', ""'""]","['Say', ',', ""'"", 'Peace', 'be', 'with', 'you', '.', ',', 'when', 'you', 'enter', 'that', 'home', '.']","['VBP', ',', ""''"", 'NNP', 'VB', 'IN', 'PRP', '.', ',', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']","['NNP', ',', ""''"", 'NNP', 'VB', 'IN', 'PRP', '.', ',', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']"
"['Louis', 'Freeh', 'says', 'that', 'when', 'Clinton', 'met', 'with', 'Crown', 'Prince', 'Abdullah', 'in', 'nineteen', 'ninety', '-', 'eight', ',', 'he', 'did', ""n't"", 'press', 'for', 'FBI', 'access', 'to', 'suspects', 'in', 'the', 'Khobar', 'Towers', 'bombing', 'and', 'he', 'hit', 'up', 'the', 'prince', 'for', 'a', 'contribution', 'to', 'his', 'presidential', 'library']","['When', 'Clinton', 'met', 'with', 'Crown', 'Prince', 'Abdullah', 'in', 'nineteen', 'ninety', '-', 'eight', ',', 'louis', 'Freeh', 'says', 'that', ',', 'he', 'did', ""n't"", 'press', 'for', 'FBI', 'access', 'to', 'suspects', 'in', 'the', 'Khobar', 'Towers', 'bombing', 'and', 'he', 'hit', 'up', 'the', 'prince', 'for', 'a', 'contribution', 'to', 'his', 'presidential', 'library']","['WRB', 'NNP', 'VBD', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'JJ', 'NN', ':', 'CD', ',', 'NNS', 'NNP', 'VBZ', 'IN', ',', 'PRP', 'VBD', 'RB', 'VB', 'IN', 'NNP', 'NN', 'TO', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'CC', 'PRP', 'VBD', 'RP', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'PRP$', 'JJ', 'NN']","['WRB', 'NNP', 'VBD', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'JJ', 'NN', ':', 'CD', ',', 'VBZ', 'NNP', 'VBZ', 'IN', ',', 'PRP', 'VBD', 'RB', 'VB', 'IN', 'NNP', 'NN', 'TO', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'CC', 'PRP', 'VBD', 'RP', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'PRP$', 'JJ', 'NN']"
"['Think', 'about', 'when', 'I', 'was', '18', ',', 'I', 'was', 'thinking', 'about', 'going', 'to', 'college', '.']","['When', 'I', 'was', '18', ',', 'think', 'about', ',', 'I', 'was', 'thinking', 'about', 'going', 'to', 'college', '.']","['WRB', 'PRP', 'VBD', 'CD', ',', 'NN', 'IN', ',', 'PRP', 'VBD', 'VBG', 'RB', 'VBG', 'TO', 'NN', '.']","['WRB', 'PRP', 'VBD', 'CD', ',', 'VBP', 'IN', ',', 'PRP', 'VBD', 'VBG', 'RB', 'VBG', 'TO', 'NN', '.']"
"['But', 'when', 'it', 'comes', 'to', 'Camilla', 'gossip', 'columnists', 'can', 'get', 'pretty', 'catty']","['When', 'it', 'comes', 'to', 'Camilla', 'gossip', 'columnists', 'can', 'get', 'pretty', 'catty', ',', 'but', '.']","['WRB', 'PRP', 'VBZ', 'TO', 'NNP', 'NN', 'NNS', 'MD', 'VB', 'RB', 'JJ', ',', 'CC', '.']","['WRB', 'PRP', 'VBZ', 'TO', 'NNP', 'NN', 'NNS', 'MD', 'VB', 'JJ', 'NN', ',', 'CC', '.']"
"['The', 'book', 'loses', 'some', 'momentum', 'toward', 'the', 'end', ',', 'when', 'Lily', 'becomes', 'more', 'preoccupied', 'with', 'dating', 'boys', 'and', 'less', 'with', 'her', 'delightfully', 'weird', 'family', '.']","['When', 'Lily', 'becomes', 'more', 'preoccupied', 'with', 'dating', 'boys', 'and', 'less', 'with', 'her', 'delightfully', 'weird', 'family', ',', 'the', 'book', 'loses', 'some', 'momentum', 'toward', 'the', 'end', '.']","['WRB', 'RB', 'VBZ', 'RBR', 'JJ', 'IN', 'VBG', 'NNS', 'CC', 'RBR', 'IN', 'PRP$', 'RB', 'JJ', 'NN', ',', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['WRB', 'NNP', 'VBZ', 'RBR', 'JJ', 'IN', 'VBG', 'NNS', 'CC', 'RBR', 'IN', 'PRP$', 'RB', 'JJ', 'NN', ',', 'DT', 'NN', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
"['Some', 'children', 'told', 'me', ',', '""', 'I', 'secretly', 'called', 'my', 'parents', 'when', 'my', 'custodians', 'were', 'not', 'home', '.', '""']","['When', 'my', 'custodians', 'were', 'not', 'home', '.', ',', 'some', 'children', 'told', 'me', ',', '""', 'I', 'secretly', 'called', 'my', 'parents', '.']","['WRB', 'PRP$', 'NNS', 'VBD', 'RB', 'VBN', '.', ',', 'DT', 'NNS', 'VBD', 'PRP', ',', 'VB', 'PRP', 'RB', 'VBD', 'PRP$', 'NNS', '.']","['WRB', 'PRP$', 'NNS', 'VBD', 'RB', 'NN', '.', ',', 'DT', 'NNS', 'VBD', 'PRP', ',', 'VB', 'PRP', 'RB', 'VBD', 'PRP$', 'NNS', '.']"
"['The', 'time', 'was', 'coming', 'near', 'when', 'Jesus', 'would', 'leave', 'and', 'go', 'back', 'to', 'heaven', '.']","['When', 'Jesus', 'would', 'leave', 'and', 'go', 'back', 'to', 'heaven', ',', 'the', 'time', 'was', 'coming', 'near', '.']","['WRB', 'NNP', 'MD', 'VB', 'CC', 'VB', 'RB', 'TO', 'NN', ',', 'DT', 'NN', 'VBD', 'VBG', 'IN', '.']","['WRB', 'NNP', 'MD', 'VB', 'CC', 'VB', 'RB', 'TO', 'NN', ',', 'DT', 'NN', 'VBD', 'VBG', 'RB', '.']"
"['When', 'they', 'went', 'abruptly', 'backward', ',', 'any', 'additional', 'misfortune', 'of', 'the', 'front', 'airbag', 'opening', 'for', 'no', 'reason', 'would', 'have', 'eliminated', 'any', 'chance', 'of', 'survival', '.']","['Any', 'additional', 'misfortune', 'of', 'the', 'front', 'airbag', 'opening', 'for', 'no', 'reason', 'would', 'have', 'eliminated', 'any', 'chance', 'of', 'survival', ',', 'when', 'they', 'went', 'abruptly', 'backward', '.']","['DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBG', 'IN', 'DT', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'NN', ',', 'WRB', 'PRP', 'VBD', 'RB', 'RB', '.']","['DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBG', 'IN', 'DT', 'NN', 'MD', 'VB', 'VBN', 'DT', 'NN', 'IN', 'NN', ',', 'WRB', 'PRP', 'VBD', 'RB', 'VBN', '.']"
"['So', 'a', 'lion', 'will', 'kill', 'you', 'when', 'you', 'leave', 'this', 'place', '.', ""''""]","['When', 'you', 'leave', 'this', 'place', '.', ""''"", ',', 'so', 'a', 'lion', 'will', 'kill', 'you', '.']","['WRB', 'PRP', 'VBP', 'DT', 'NN', '.', ""''"", ',', 'RB', 'DT', 'NN', 'MD', 'VB', 'PRP', '.']","['WRB', 'PRP', 'VBP', 'DT', 'NN', '.', ""''"", ',', 'IN', 'DT', 'NN', 'MD', 'VB', 'PRP', '.']"
"['Morris', 'Chang', 'was', 'in', 'his', 'fifties', 'when', 'he', 'became', 'an', 'entrepreneur', 'and', 'founded', 'Taiwan', 'Semiconductor', '.']","['When', 'he', 'became', 'an', 'entrepreneur', 'and', 'founded', 'Taiwan', 'Semiconductor', ',', 'morris', 'Chang', 'was', 'in', 'his', 'fifties', '.']","['WRB', 'PRP', 'VBD', 'DT', 'NN', 'CC', 'VBD', 'NNP', 'NNP', ',', 'NN', 'NNP', 'VBD', 'IN', 'PRP$', 'NNS', '.']","['WRB', 'PRP', 'VBD', 'DT', 'NN', 'CC', 'VBD', 'NNP', 'NNP', ',', 'NNP', 'NNP', 'VBD', 'IN', 'PRP$', 'NNS', '.']"
