source_input,follow_input,target_output,follow_output
"['Meanwhile', ',', 'agency', 'supply', 'is', 'expected', 'to', 'weigh', 'heavily', 'on', 'the', 'market', 'today', 'when', 'the', 'Federal', 'Home', 'Loan', 'Bank', 'prices', 'a', '$', '2.3', 'billion', 'offering', 'of', 'one', '-', 'year', ',', 'three', '-', 'year', ',', 'five', '-', 'year', 'and', '10', '-', 'year', 'maturities', '.']","['When', 'the', 'Federal', 'Home', 'Loan', 'Bank', 'prices', 'a', '$', '2.3', 'billion', 'offering', 'of', 'one', '-', 'year', ',', 'meanwhile', ',', 'agency', 'supply', 'is', 'expected', 'to', 'weigh', 'heavily', 'on', 'the', 'market', 'today', ',', 'three', '-', 'year', ',', 'five', '-', 'year', 'and', '10', '-', 'year', 'maturities', '.']","['WRB', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'DT', '$', 'CD', 'CD', 'NN', 'IN', 'CD', 'HYPH', 'NN', ',', 'RB', ',', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'RB', 'IN', 'DT', 'NN', 'NN', ',', 'CD', 'HYPH', 'NN', ',', 'CD', 'HYPH', 'NN', 'CC', 'CD', 'HYPH', 'NN', 'NNS', '.']","['WRB', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NNS', 'DT', '$', 'CD', 'CD', 'NN', 'IN', 'CD', 'HYPH', 'NN', ',', 'RB', ',', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'RB', 'IN', 'DT', 'NN', 'NN', ',', 'CD', 'HYPH', 'NN', ',', 'CD', 'HYPH', 'NN', 'CC', 'CD', 'HYPH', 'NN', 'NNS', '.']"
"['Thomas', '-LRB-', 'called', 'Didymus', '-RRB-', 'was', 'one', 'of', 'the', 'twelve', ',', 'but', 'he', 'was', 'not', 'with', 'the', 'other', 'followers', 'when', 'Jesus', 'came', '.']","['When', 'Jesus', 'came', ',', 'thomas', '-LRB-', 'called', 'Didymus', '-RRB-', 'was', 'one', 'of', 'the', 'twelve', ',', 'but', 'he', 'was', 'not', 'with', 'the', 'other', 'followers', '.']","['WRB', 'NNP', 'VBD', ',', 'NNP', '-LRB-', 'VBN', 'NNP', '-RRB-', 'VBD', 'CD', 'IN', 'DT', 'CD', ',', 'CC', 'PRP', 'VBD', 'RB', 'IN', 'DT', 'JJ', 'NNS', '.']","['WRB', 'NNP', 'VBD', ',', 'NNS', '-LRB-', 'VBN', 'NNP', '-RRB-', 'VBD', 'CD', 'IN', 'DT', 'CD', ',', 'CC', 'PRP', 'VBD', 'RB', 'IN', 'DT', 'JJ', 'NNS', '.']"
"['A', 'leading', 'authority', 'on', 'the', 'business', 'cycle', ',', 'Mr.', 'Moore', 'also', 'is', 'a', 'member', 'of', 'the', 'Business', 'Cycle', 'Dating', 'Group', ',', 'the', 'panel', 'of', 'private', 'economists', 'that', 'decides', 'for', 'the', 'government', 'when', 'expansions', 'and', 'recessions', 'begin', 'and', 'end', '.']","['When', 'expansions', 'and', 'recessions', 'begin', 'and', 'end', ',', 'a', 'leading', 'authority', 'on', 'the', 'business', 'cycle', ',', 'Mr.', 'Moore', 'also', 'is', 'a', 'member', 'of', 'the', 'Business', 'Cycle', 'Dating', 'Group', ',', 'the', 'panel', 'of', 'private', 'economists', 'that', 'decides', 'for', 'the', 'government', '.']","['WRB', 'NNS', 'CC', 'NNS', 'VBP', 'CC', 'VBP', ',', 'DT', 'VBG', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'NNP', 'NNP', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'WDT', 'VBZ', 'IN', 'DT', 'NN', '.']","['WRB', 'NNS', 'CC', 'NNS', 'VBP', 'CC', 'NN', ',', 'DT', 'VBG', 'NN', 'IN', 'DT', 'NN', 'NN', ',', 'NNP', 'NNP', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'WDT', 'VBZ', 'IN', 'DT', 'NN', '.']"
"['Uh', 'my', 'point', 'is', 'that', 'when', 'you', 'deal', 'with', 'North', 'Korea', 'you', ""'re"", 'not', 'dealing', 'with', 'individuals', 'like', 'you', 'and', 'me']","['When', 'you', 'deal', 'with', 'North', 'Korea', 'you', ""'re"", 'not', 'dealing', 'with', 'individuals', 'like', 'you', 'and', 'me', ',', 'uh', 'my', 'point', 'is', 'that', '.']","['WRB', 'PRP', 'VBP', 'IN', 'NNP', 'NNP', 'PRP', 'VBP', 'RB', 'VBG', 'IN', 'NNS', 'IN', 'PRP', 'CC', 'PRP', ',', 'UH', 'PRP$', 'NN', 'VBZ', 'IN', '.']","['WRB', 'PRP', 'VBP', 'IN', 'NNP', 'NNP', 'PRP', 'VBP', 'RB', 'VBG', 'IN', 'NNS', 'IN', 'PRP', 'CC', 'PRP', ',', 'UH', 'PRP$', 'NN', 'VBZ', 'DT', '.']"
"['People', 'do', ""n't"", 'know', 'that', 'when', 'I', 'was', 'young', 'I', 'had', 'dreadful', 'protruding', 'teeth', ',', 'but', 'now', 'not', 'only', 'do', 'my', 'teeth', 'no', 'longer', 'show', ',', 'but', 'the', 'lines', 'of', 'my', 'face', 'have', 'also', 'softened', '.']","['When', 'I', 'was', 'young', 'I', 'had', 'dreadful', 'protruding', 'teeth', ',', 'people', 'do', ""n't"", 'know', 'that', ',', 'but', 'now', 'not', 'only', 'do', 'my', 'teeth', 'no', 'longer', 'show', ',', 'but', 'the', 'lines', 'of', 'my', 'face', 'have', 'also', 'softened', '.']","['WRB', 'PRP', 'VBD', 'JJ', 'PRP', 'VBD', 'JJ', 'VBG', 'NNS', ',', 'NNS', 'VBP', 'RB', 'VB', 'IN', ',', 'CC', 'RB', 'RB', 'RB', 'VBP', 'PRP$', 'NNS', 'RB', 'RBR', 'VB', ',', 'CC', 'DT', 'NNS', 'IN', 'PRP$', 'NN', 'VBP', 'RB', 'VBN', '.']","['WRB', 'PRP', 'VBD', 'JJ', 'PRP', 'VBD', 'JJ', 'VBG', 'NNS', ',', 'NNS', 'VBP', 'RB', 'VB', 'DT', ',', 'CC', 'RB', 'RB', 'RB', 'VBP', 'PRP$', 'NNS', 'RB', 'RBR', 'VB', ',', 'CC', 'DT', 'NNS', 'IN', 'PRP$', 'NN', 'VBP', 'RB', 'VBN', '.']"
"['When', 'he', 'retired', 'last', 'year', ',', 'he', 'was', 'the', 'oldest', 'and', 'longest', 'serving', 'member', 'of', 'the', 'house', '.']","['He', 'was', 'the', 'oldest', 'and', 'longest', 'serving', 'member', 'of', 'the', 'house', ',', 'when', 'he', 'retired', 'last', 'year', '.']","['PRP', 'VBD', 'DT', 'JJS', 'CC', 'RBS', 'VBG', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'PRP', 'VBD', 'JJ', 'NN', '.']","['PRP', 'VBD', 'DT', 'JJS', 'CC', 'JJS', 'VBG', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'PRP', 'VBD', 'JJ', 'NN', '.']"
"['Negotiators', 'from', 'the', 'White', 'House', 'trade', 'office', 'will', 'repeat', 'these', 'quota', 'negotiations', 'next', 'year', 'when', 'they', 'will', 'have', 'another', '1', '%', 'of', 'the', 'U.S.', 'steel', 'market', 'to', 'allocate', '.']","['When', 'they', 'will', 'have', 'another', '1', '%', 'of', 'the', 'U.S.', 'steel', 'market', 'to', 'allocate', ',', 'negotiators', 'from', 'the', 'White', 'House', 'trade', 'office', 'will', 'repeat', 'these', 'quota', 'negotiations', 'next', 'year', '.']","['WRB', 'PRP', 'MD', 'VB', 'DT', 'CD', 'NN', 'IN', 'DT', 'NNP', 'NN', 'NN', 'TO', 'VB', ',', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'NN', 'MD', 'VB', 'DT', 'NN', 'NNS', 'JJ', 'NN', '.']","['WRB', 'PRP', 'MD', 'VB', 'DT', 'CD', 'NN', 'IN', 'DT', 'NNP', 'NN', 'NN', 'TO', 'VB', ',', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'NN', 'MD', 'VB', 'DT', 'NN', 'NNS', 'IN', 'NN', '.']"
"['This', 'is', 'civilization', 'that', 'when', 'we', 'accidentally', 'or', 'deliberately', 'I', 'do', ""n't"", 'know', 'abused', 'the', 'Koran', 'people', 'rioted', 'in', 'Pakistan']","['When', 'we', 'accidentally', 'or', 'deliberately', 'I', 'do', ""n't"", 'know', 'abused', 'the', 'Koran', 'people', 'rioted', 'in', 'Pakistan', ',', 'this', 'is', 'civilization', 'that', '.']","['WRB', 'PRP', 'RB', 'CC', 'RB', 'PRP', 'VBP', 'RB', 'VB', 'VBN', 'DT', 'NNP', 'NNS', 'VBD', 'IN', 'NNP', ',', 'DT', 'VBZ', 'NN', 'IN', '.']","['WRB', 'PRP', 'RB', 'CC', 'RB', 'PRP', 'VBP', 'RB', 'VB', 'VBN', 'DT', 'NNP', 'NNS', 'VBD', 'IN', 'NNP', ',', 'DT', 'VBZ', 'NN', 'WDT', '.']"
"['Of', 'course', 'you', 'will', 'recall', 'when', 'he', 'spoke', 'to', 'the', 'parliament', 'there', 'was', 'an', 'ecstatic', 'welcome', 'for', 'him', '.']","['When', 'he', 'spoke', 'to', 'the', 'parliament', 'there', 'was', 'an', 'ecstatic', 'welcome', 'for', 'him', ',', 'of', 'course', 'you', 'will', 'recall', '.']","['WRB', 'PRP', 'VBD', 'IN', 'DT', 'NN', 'EX', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'PRP', ',', 'RB', 'RB', 'PRP', 'MD', 'VB', '.']","['WRB', 'PRP', 'VBD', 'IN', 'DT', 'NN', 'EX', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'PRP', ',', 'IN', 'NN', 'PRP', 'MD', 'VB', '.']"
"['Now', 'let', ""'s"", 'talk', 'about', 'the', 'man', 'overboard', 'rescue', 'and', 'when', 'indeed', 'there', 'is', 'a', 'man', 'overboard', 'situation', '.']","['When', 'indeed', 'there', 'is', 'a', 'man', 'overboard', 'situation', ',', 'now', 'let', ""'s"", 'talk', 'about', 'the', 'man', 'overboard', 'rescue', 'and', '.']","['WRB', 'RB', 'EX', 'VBZ', 'DT', 'NN', 'NN', 'NN', ',', 'UH', 'VB', 'PRP', 'VB', 'IN', 'DT', 'NN', 'NN', 'NN', 'CC', '.']","['WRB', 'RB', 'EX', 'VBZ', 'DT', 'NN', 'NN', 'NN', ',', 'RB', 'VB', 'PRP', 'VB', 'IN', 'DT', 'NN', 'NN', 'NN', 'CC', '.']"
