source_input,follow_input,target_output,follow_output
"['When', 'the', 'people', 'went', 'down', 'and', 'lifted', 'him', 'up', ',', 'he', 'was', 'dead', '.']","['He', 'was', 'dead', ',', 'when', 'the', 'people', 'went', 'down', 'and', 'lifted', 'him', 'up', '.']","['PRP', 'VBD', 'JJ', ',', 'WRB', 'DT', 'NNS', 'VBD', 'RB', 'CC', 'VBD', 'PRP', 'RP', '.']","['PRP', 'VBD', 'JJ', ',', 'WRB', 'DT', 'NNS', 'VBD', 'RB', 'CC', 'VBD', 'PRP', 'RP', '.']"
"['King', 'Ben-Hadad', 'was', 'drinking', 'in', 'his', 'tent', 'with', 'the', 'other', 'rulers', 'when', 'the', 'messengers', 'came', 'back', 'and', 'gave', 'him', 'the', 'message', 'from', 'King', 'Ahab', '.']","['When', 'the', 'messengers', 'came', 'back', 'and', 'gave', 'him', 'the', 'message', 'from', 'King', 'Ahab', ',', 'king', 'Ben-Hadad', 'was', 'drinking', 'in', 'his', 'tent', 'with', 'the', 'other', 'rulers', '.']","['WRB', 'DT', 'NNS', 'VBD', 'RB', 'CC', 'VBD', 'PRP', 'DT', 'NN', 'IN', 'VBG', 'NNP', ',', 'VBG', 'NNP', 'VBD', 'VBG', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NNS', '.']","['WRB', 'DT', 'NNS', 'VBD', 'RB', 'CC', 'VBD', 'PRP', 'DT', 'NN', 'IN', 'VBG', 'NNP', ',', 'VBG', 'NNP', 'VBD', 'VBG', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'JJ', 'NNS', '.']"
"['Just', 'when', 'it', 'seemed', 'safe', 'to', 'go', 'back', 'into', 'stocks', ',', 'Wall', 'Street', 'suffered', 'another', 'severe', 'attack', 'of', 'nerves', '.']","['When', 'it', 'seemed', 'safe', 'to', 'go', 'back', 'into', 'stocks', ',', 'just', ',', 'Wall', 'Street', 'suffered', 'another', 'severe', 'attack', 'of', 'nerves', '.']","['WRB', 'PRP', 'VBD', 'JJ', 'TO', 'VB', 'RB', 'IN', 'NNS', ',', 'RB', ',', 'NNP', 'NNP', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'NNS', '.']","['WRB', 'PRP', 'VBD', 'JJ', 'TO', 'VB', 'RB', 'IN', 'NNS', ',', 'RB', ',', 'NNP', 'NNP', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'NNS', '.']"
"['And', 'you', 'see', 'Apache', 'helicopter', 'pilot', 'and', 'his', 'wife', 'Michelle', 'who', 'was', 'talking', 'with', 'us', 'on', 'the', 'telephone', 'the', 'Sunday', 'morning', 'when', 'the', 'video', 'came', 'in', 'of', 'the', 'rescue', 'of', 'the', 'POWs', 'and', ',', 'she', 'identified', 'her', 'husband', 'and', 'life', 'just', 'got', 'better', 'and', 'better', 'for', 'her', 'after', 'that', '.']","['When', 'the', 'video', 'came', 'in', 'of', 'the', 'rescue', 'of', 'the', 'POWs', 'and', ',', 'and', 'you', 'see', 'Apache', 'helicopter', 'pilot', 'and', 'his', 'wife', 'Michelle', 'who', 'was', 'talking', 'with', 'us', 'on', 'the', 'telephone', 'the', 'Sunday', 'morning', ',', 'she', 'identified', 'her', 'husband', 'and', 'life', 'just', 'got', 'better', 'and', 'better', 'for', 'her', 'after', 'that', '.']","['WRB', 'DT', 'NN', 'VBD', 'IN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'CC', ',', 'CC', 'PRP', 'VBP', 'NNP', 'NN', 'NN', 'CC', 'PRP$', 'NN', 'NNP', 'WP', 'VBD', 'VBG', 'IN', 'PRP', 'IN', 'DT', 'NN', 'DT', 'NNP', 'NN', ',', 'PRP', 'VBD', 'PRP$', 'NN', 'CC', 'NN', 'RB', 'VBD', 'RBR', 'CC', 'RBR', 'IN', 'PRP$', 'IN', 'DT', '.']","['WRB', 'DT', 'NN', 'VBD', 'IN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'CC', ',', 'CC', 'PRP', 'VBP', 'NNP', 'NN', 'NN', 'CC', 'PRP$', 'NN', 'NNP', 'WP', 'VBD', 'VBG', 'IN', 'PRP', 'IN', 'DT', 'NN', 'DT', 'NNP', 'NN', ',', 'PRP', 'VBD', 'PRP$', 'NN', 'CC', 'NN', 'RB', 'VBD', 'RBR', 'CC', 'RBR', 'IN', 'PRP$', 'IN', 'DT', '.']"
"['When', 'you', 'feel', 'other', 'people', 'are', 'talking', 'baloney', ',', 'and', 'what', 'other', 'people', 'say', 'does', 'not', 'correspond', 'to', 'your', '""', 'common', 'sense', ',', '""', 'you', 'should', 'at', 'the', 'same', 'time', 'recognize', 'that', 'your', 'uncle', 'is', 'only', 'your', 'uncle', ',', 'he', 'is', 'not', 'the', 'whole', 'world', '.']","['And', 'what', 'other', 'people', 'say', 'does', 'not', 'correspond', 'to', 'your', '""', 'common', 'sense', ',', '""', 'you', 'should', 'at', 'the', 'same', 'time', 'recognize', 'that', 'your', 'uncle', 'is', 'only', 'your', 'uncle', ',', 'he', 'is', 'not', 'the', 'whole', 'world', ',', 'when', 'you', 'feel', 'other', 'people', 'are', 'talking', 'baloney', '.']","['CC', 'WP', 'JJ', 'NNS', 'VBP', 'VBZ', 'RB', 'VB', 'TO', 'PRP$', 'JJ', 'JJ', 'NN', ',', 'IN', 'PRP', 'MD', 'IN', 'DT', 'JJ', 'NN', 'VB', 'IN', 'PRP$', 'NN', 'VBZ', 'RB', 'PRP$', 'NN', ',', 'PRP', 'VBZ', 'RB', 'DT', 'JJ', 'NN', ',', 'WRB', 'PRP', 'VBP', 'JJ', 'NNS', 'VBP', 'VBG', 'NN', '.']","['CC', 'WP', 'JJ', 'NNS', 'VBP', 'VBZ', 'RB', 'VB', 'TO', 'PRP$', 'JJ', 'JJ', 'NN', ',', 'IN', 'PRP', 'MD', 'IN', 'DT', 'JJ', 'NN', 'VB', 'IN', 'PRP$', 'NN', 'VBZ', 'RB', 'PRP$', 'NN', ',', 'PRP', 'VBZ', 'RB', 'DT', 'JJ', 'NN', ',', 'WRB', 'PRP', 'VBP', 'JJ', 'NNS', 'VBP', 'VBG', 'NN', '.']"
"['When', 'you', 'enter', 'that', 'home', ',', 'say', ',', ""'"", 'Peace', 'be', 'with', 'you', '.', ""'""]","['Say', ',', ""'"", 'Peace', 'be', 'with', 'you', '.', ',', 'when', 'you', 'enter', 'that', 'home', '.']","['VBP', ',', ""''"", 'NNP', 'VB', 'IN', 'PRP', '.', ',', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']","['NNP', ',', ""''"", 'NNP', 'VB', 'IN', 'PRP', '.', ',', 'WRB', 'PRP', 'VBP', 'DT', 'NN', '.']"
"['Louis', 'Freeh', 'says', 'that', 'when', 'Clinton', 'met', 'with', 'Crown', 'Prince', 'Abdullah', 'in', 'nineteen', 'ninety', '-', 'eight', ',', 'he', 'did', ""n't"", 'press', 'for', 'FBI', 'access', 'to', 'suspects', 'in', 'the', 'Khobar', 'Towers', 'bombing', 'and', 'he', 'hit', 'up', 'the', 'prince', 'for', 'a', 'contribution', 'to', 'his', 'presidential', 'library']","['When', 'Clinton', 'met', 'with', 'Crown', 'Prince', 'Abdullah', 'in', 'nineteen', 'ninety', '-', 'eight', ',', 'louis', 'Freeh', 'says', 'that', ',', 'he', 'did', ""n't"", 'press', 'for', 'FBI', 'access', 'to', 'suspects', 'in', 'the', 'Khobar', 'Towers', 'bombing', 'and', 'he', 'hit', 'up', 'the', 'prince', 'for', 'a', 'contribution', 'to', 'his', 'presidential', 'library']","['WRB', 'NNP', 'VBD', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'JJ', 'NN', ':', 'CD', ',', 'NNS', 'NNP', 'VBZ', 'IN', ',', 'PRP', 'VBD', 'RB', 'VB', 'IN', 'NNP', 'NN', 'TO', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'CC', 'PRP', 'VBD', 'RP', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'PRP$', 'JJ', 'NN']","['WRB', 'NNP', 'VBD', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'JJ', 'NN', ':', 'CD', ',', 'VBZ', 'NNP', 'VBZ', 'IN', ',', 'PRP', 'VBD', 'RB', 'VB', 'IN', 'NNP', 'NN', 'TO', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NN', 'CC', 'PRP', 'VBD', 'RP', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'PRP$', 'JJ', 'NN']"
"['I', 'taught', 'you', 'to', 'remember', 'the', 'words', 'of', 'the', 'Lord', 'Jesus', ':', ""'"", 'You', 'will', 'have', 'a', 'greater', 'blessing', 'when', 'you', 'give', 'than', 'when', 'you', 'receive', '.', ""'"", ""''""]","['When', 'you', 'give', 'than', 'when', 'you', 'receive', '.', ""'"", ""''"", ',', 'I', 'taught', 'you', 'to', 'remember', 'the', 'words', 'of', 'the', 'Lord', 'Jesus', ':', ""'"", 'You', 'will', 'have', 'a', 'greater', 'blessing', '.']","['WRB', 'PRP', 'VBP', 'IN', 'WRB', 'PRP', 'VBP', '.', ""''"", ""''"", ',', 'PRP', 'VBD', 'PRP', 'TO', 'VB', 'DT', 'NNS', 'IN', 'DT', 'NNP', 'NNP', ':', 'POS', 'PRP', 'MD', 'VB', 'DT', 'JJR', 'NN', '.']","['WRB', 'PRP', 'VBP', 'IN', 'WRB', 'PRP', 'VBP', '.', ""''"", ""''"", ',', 'PRP', 'VBD', 'PRP', 'TO', 'VB', 'DT', 'NNS', 'IN', 'DT', 'NNP', 'NNP', ':', 'POS', 'PRP', 'MD', 'VB', 'DT', 'JJR', 'NN', '.']"
"['And', 'the', 'second', 'key', 'is', 'that', 'when', 'you', 'deal', 'with', 'Taiwanese', 'companies', ',', 'you', 'do', ""n't"", 'have', 'to', 'endure', 'a', 'long', 'contract', 'process', '.']","['When', 'you', 'deal', 'with', 'Taiwanese', 'companies', ',', 'and', 'the', 'second', 'key', 'is', 'that', ',', 'you', 'do', ""n't"", 'have', 'to', 'endure', 'a', 'long', 'contract', 'process', '.']","['WRB', 'PRP', 'VBP', 'IN', 'JJ', 'NNS', ',', 'CC', 'DT', 'JJ', 'NN', 'VBZ', 'IN', ',', 'PRP', 'VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', '.']","['WRB', 'PRP', 'VBP', 'IN', 'JJ', 'NNS', ',', 'CC', 'DT', 'JJ', 'NN', 'VBZ', 'IN', ',', 'PRP', 'VBP', 'RB', 'VB', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', '.']"
"['Financial', 'Corp.', 'of', 'Santa', 'Barbara', 'filed', 'suit', 'against', 'former', 'stock', 'speculator', 'Ivan', 'F.', 'Boesky', 'and', 'Drexel', 'Burnham', 'Lambert', 'Inc.', ',', 'charging', 'they', 'defrauded', 'the', 'thrift', 'by', 'concealing', 'their', 'relationship', 'when', 'persuading', 'it', 'to', 'buy', '$', '284', 'million', 'in', 'high', '-', 'yield', ',', 'high', '-', 'risk', 'junk', 'bonds', '.']","['When', 'persuading', 'it', 'to', 'buy', '$', '284', 'million', 'in', 'high', '-', 'yield', ',', 'financial', 'Corp.', 'of', 'Santa', 'Barbara', 'filed', 'suit', 'against', 'former', 'stock', 'speculator', 'Ivan', 'F.', 'Boesky', 'and', 'Drexel', 'Burnham', 'Lambert', 'Inc.', ',', 'charging', 'they', 'defrauded', 'the', 'thrift', 'by', 'concealing', 'their', 'relationship', ',', 'high', '-', 'risk', 'junk', 'bonds', '.']","['WRB', 'VBG', 'PRP', 'TO', 'VB', '$', 'CD', 'CD', 'IN', 'JJ', ':', 'NN', ',', 'JJ', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'NN', 'IN', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBG', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'PRP$', 'NN', ',', 'JJ', ':', 'NN', 'NN', 'NNS', '.']","['WRB', 'VBG', 'PRP', 'TO', 'VB', '$', 'CD', 'CD', 'IN', 'JJ', ':', 'NN', ',', 'JJ', 'NNP', 'IN', 'NNP', 'NNP', 'VBD', 'NN', 'IN', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBG', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'PRP$', 'NN', ',', 'JJ', ':', 'NN', 'NN', 'NNS', '.']"
